status,function,function_new,Month,APP
realized,Old oGV,oGV,April 2024,0.0
approved,Old oGT,oGTa,April 2024,0.0
approved,Old oGV,oGV,April 2024,0.0
approved,oGV,oGV,April 2024,10.0
approved,oGE,oGTa,April 2024,0.0
completed,Old iGV,iGV,April 2024,0.0
applied,Old oGV,oGV,April 2024,0.0
completed,iGTa,iGTa,April 2024,1.0
completed,iGTe,iGTe,April 2024,0.0
completed,oGE,oGTa,April 2024,0.0
approved,oGTe,oGTe,April 2024,4.0
completed,iGV,iGV,April 2024,8.0
completed,oGV,oGV,April 2024,1.0
approved,oGTa,oGTa,April 2024,4.0
completed,oGTa,oGTa,April 2024,1.0
completed,oGTe,oGTe,April 2024,0.0
completed,iGE,iGTa,April 2024,0.0
completed,Old iGT,iGTa,April 2024,0.0
completed,Old oGV,oGV,April 2024,0.0
completed,Old oGT,oGTa,April 2024,0.0
finished,iGE,iGTa,April 2024,0.0
applied,iGTa,iGTa,April 2024,162.0
applied,iGTe,iGTe,April 2024,50.0
finished,Old iGT,iGTa,April 2024,0.0
finished,Old iGV,iGV,April 2024,0.0
approved,Old iGT,iGTa,April 2024,0.0
applied,iGE,iGTa,April 2024,0.0
approved,iGE,iGTa,April 2024,0.0
applied,iGV,iGV,April 2024,336.0
approved,iGV,iGV,April 2024,96.0
applied,Old iGV,iGV,April 2024,0.0
approved,iGTe,iGTe,April 2024,0.0
applied,Old iGT,iGTa,April 2024,0.0
approved,iGTa,iGTa,April 2024,0.0
remote,oGTe,oGTe,April 2024,0.0
remote,oGTa,oGTa,April 2024,0.0
remote,iGTe,iGTe,April 2024,0.0
remote,Old oGV,oGV,April 2024,0.0
remote,iGTa,iGTa,April 2024,0.0
remote,iGV,iGV,April 2024,0.0
finished,oGTe,oGTe,April 2024,0.0
remote,Old oGT,oGTa,April 2024,0.0
finished,oGTa,oGTa,April 2024,1.0
remote,oGE,oGTa,April 2024,0.0
finished,oGV,oGV,April 2024,1.0
remote,oGV,oGV,April 2024,0.0
