"Function: oGTa, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Applied,ASL,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0
Realized,ASL,192.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192.0
Finished,ASL,37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: iGV, Term: 16.17"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,6.0,7.0,19.0,15.0,5.0,8.0,4.0,2.0,17.0,38.0,14.0,nan,135.0
Applied,ASL,191.0,118.0,412.0,1114.0,882.0,287.0,95.0,49.0,55.0,290.0,678.0,nan,4171.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,51.0,20.0,26.0,178.0,251.0,86.0,31.0,20.0,10.0,31.0,149.0,nan,853.0
Realized,ASL,223.0,38.0,15.0,11.0,20.0,144.0,297.0,64.0,8.0,10.0,0.0,nan,830.0
Finished,ASL,5.0,35.0,190.0,29.0,10.0,29.0,52.0,259.0,164.0,33.0,9.0,nan,815.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,1.0

"Function: iGV, Term: 17.18"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,17.0,50.0,9.0,12.0,10.0,4.0,3.0,11.0,5.0,7.0,17.0,nan,145.0
Applied,ASL,327.0,598.0,1072.0,1318.0,1112.0,642.0,322.0,246.0,229.0,406.0,383.0,nan,6655.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,40.0,24.0,137.0,330.0,288.0,123.0,66.0,27.0,35.0,51.0,93.0,nan,1214.0
Realized,ASL,116.0,42.0,16.0,25.0,63.0,225.0,371.0,161.0,32.0,8.0,8.0,nan,1067.0
Finished,ASL,21.0,79.0,191.0,36.0,19.0,24.0,177.0,369.0,193.0,85.0,14.0,nan,1208.0
Completed,ASL,13.0,1.0,7.0,1.0,0.0,12.0,96.0,178.0,95.0,19.0,3.0,nan,425.0

"Function: iGV, Term: 18.19"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,48.0,93.0,70.0,51.0,19.0,13.0,7.0,47.0,3.0,14.0,23.0,nan,388.0
Applied,ASL,325.0,412.0,839.0,805.0,744.0,572.0,253.0,212.0,290.0,446.0,515.0,nan,5413.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,46.0,83.0,166.0,307.0,215.0,105.0,62.0,21.0,68.0,66.0,160.0,nan,1299.0
Realized,ASL,130.0,16.0,8.0,3.0,55.0,163.0,455.0,111.0,20.0,14.0,7.0,nan,982.0
Finished,ASL,40.0,43.0,91.0,14.0,4.0,15.0,162.0,400.0,200.0,28.0,15.0,nan,1012.0
Completed,ASL,34.0,29.0,55.0,10.0,3.0,13.0,100.0,269.0,133.0,17.0,14.0,nan,677.0

"Function: iGV, Term: 19.20"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,25.0,20.0,32.0,6.0,4.0,2.0,6.0,62.0,36.0,7.0,nan,200.0
Applied,ASL,nan,462.0,813.0,525.0,261.0,222.0,250.0,138.0,183.0,235.0,237.0,nan,3326.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,72.0,147.0,125.0,25.0,24.0,19.0,18.0,31.0,33.0,46.0,nan,540.0
Realized,ASL,nan,25.0,11.0,1.0,10.0,52.0,123.0,25.0,7.0,9.0,3.0,nan,266.0
Finished,ASL,nan,84.0,71.0,11.0,0.0,10.0,40.0,108.0,50.0,9.0,10.0,nan,393.0
Completed,ASL,nan,55.0,47.0,7.0,0.0,8.0,29.0,71.0,37.0,8.0,2.0,nan,264.0

"Function: iGV, Term: 21.22"
