index,Entity,Function,Term,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
152,1340,iGV,18.19,0.0,11.0,5.0,1.0,11.0,34.0,98.0,33.0,6.0,1.0,0.0,6.0,206.0
153,1340,iGV,18.19,0.0,10.0,4.0,1.0,9.0,10.0,44.0,10.0,3.0,1.0,0.0,3.0,95.0
154,1340,iGV,19.20,11.0,3.0,2.0,1.0,0.0,1.0,1.0,18.0,10.0,2.0,4.0,,53.0
155,1340,iGV,19.20,105.0,184.0,110.0,53.0,29.0,21.0,18.0,26.0,55.0,62.0,53.0,,716.0
156,1340,iGV,19.20,34.0,65.0,53.0,14.0,5.0,2.0,2.0,8.0,7.0,25.0,12.0,,227.0
157,1340,iGV,19.20,16.0,37.0,35.0,11.0,6.0,2.0,2.0,5.0,6.0,10.0,6.0,,136.0
158,1340,iGV,19.20,6.0,0.0,0.0,2.0,5.0,46.0,7.0,0.0,1.0,3.0,3.0,,73.0
159,1340,iGV,19.20,5.0,11.0,0.0,0.0,1.0,4.0,31.0,24.0,0.0,1.0,2.0,,79.0
160,1340,iGV,19.20,5.0,6.0,0.0,0.0,1.0,3.0,19.0,15.0,0.0,0.0,1.0,,50.0
161,1340,iGV,21.22,,,,,,,,,,,,1.0,1.0
162,1340,iGV,21.22,,,,,,,,,,,,78.0,78.0
163,1340,iGV,21.22,,,,,,,,,,,,34.0,34.0
164,1340,iGV,21.22,,,,,,,,,,,,18.0,18.0
165,1340,iGV,21.22,,,,,,,,,,,,13.0,13.0
166,1340,iGV,21.22,,,,,,,,,,,,2.0,2.0
167,1340,iGV,21.22,,,,,,,,,,,,0.0,0.0
168,1340,iGV,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1340,iGV,22.23,63.0,124.0,68.0,42.0,34.0,22.0,11.0,8.0,20.0,54.0,31.0,23.0,500.0
170,1340,iGV,22.23,23.0,49.0,11.0,4.0,9.0,0.0,3.0,4.0,4.0,12.0,10.0,8.0,137.0
171,1340,iGV,22.23,5.0,7.0,5.0,4.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,33.0
172,1340,iGV,22.23,28.0,0.0,7.0,0.0,3.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,52.0
173,1340,iGV,22.23,15.0,28.0,0.0,7.0,0.0,2.0,7.0,3.0,4.0,0.0,1.0,0.0,67.0
174,1340,iGV,22.23,4.0,4.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,18.0
175,1340,iGV,23.24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0
176,1340,iGV,23.24,27.0,71.0,60.0,60.0,65.0,36.0,53.0,59.0,24.0,13.0,25.0,26.0,519.0
177,1340,iGV,23.24,10.0,26.0,16.0,18.0,23.0,11.0,16.0,10.0,1.0,2.0,1.0,2.0,136.0
178,1340,iGV,23.24,5.0,10.0,8.0,14.0,20.0,6.0,13.0,5.0,3.0,2.0,0.0,3.0,89.0
179,1340,iGV,23.24,1.0,2.0,4.0,0.0,18.0,19.0,4.0,10.0,3.0,5.0,0.0,1.0,67.0
