status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Completed,Old oGT,oGTa,February 2021,0.0,2021-02-01,Completed,FEB,21.22
Finished,iGE,iGTa,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Applied,iGTa,iGTa,February 2021,7.0,2021-02-01,Applied,FEB,21.22
Applied,iGTe,iGTe,February 2021,87.0,2021-02-01,Applied,FEB,21.22
Finished,Old iGT,iGTa,February 2021,4.0,2021-02-01,Finished,FEB,21.22
Finished,Old iGV,iGV,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Approved,Old iGT,iGTa,February 2021,0.0,2021-02-01,Approved,FEB,21.22
Applied,iGE,iGTa,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Approved,iGE,iGTa,February 2021,0.0,2021-02-01,Approved,FEB,21.22
Applied,iGV,iGV,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Approved,iGV,iGV,February 2021,0.0,2021-02-01,Approved,FEB,21.22
Applied,Old iGV,iGV,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Approved,iGTe,iGTe,February 2021,0.0,2021-02-01,Approved,FEB,21.22
Applied,Old iGT,iGTa,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Approved,iGTa,iGTa,February 2021,0.0,2021-02-01,Approved,FEB,21.22
Remote Realized,oGTe,oGTe,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Remote Realized,oGTa,oGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Remote Realized,iGTe,iGTe,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Remote Realized,Old oGV,oGV,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Remote Realized,iGTa,iGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Remote Realized,iGV,iGV,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Finished,oGTe,oGTe,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Remote Realized,Old oGT,oGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Finished,oGTa,oGTa,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Remote Realized,oGE,oGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Finished,oGV,oGV,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Remote Realized,oGV,oGV,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Finished,oGE,oGTa,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Remote Realized,Old iGV,iGV,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Applied,Old oGT,oGTa,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Finished,Old oGT,oGTa,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Finished,Old oGV,oGV,February 2021,0.0,2021-02-01,Finished,FEB,21.22
Applied,oGE,oGTa,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Remote Realized,iGE,iGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Applied,oGV,oGV,February 2021,2.0,2021-02-01,Applied,FEB,21.22
Applied,oGTa,oGTa,February 2021,1.0,2021-02-01,Applied,FEB,21.22
Remote Realized,Old iGT,iGTa,February 2021,0.0,2021-02-01,Remote Realized,FEB,21.22
Applied,oGTe,oGTe,February 2021,0.0,2021-02-01,Applied,FEB,21.22
Open,oGV,oGV,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,oGT Old,oGTa,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,oGE,oGTa,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,oGV,oGV,February 2021,7.0,2021-02-01,Open,FEB,21.22
Open,oGTa,oGTa,February 2021,7.0,2021-02-01,Open,FEB,21.22
Open,oGTe,oGTe,February 2021,1.0,2021-02-01,Open,FEB,21.22
Open,iGV,iGV,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,iGT Old,iGTa,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,iGE,iGTa,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,iGV,iGV,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,iGTa,iGTa,February 2021,0.0,2021-02-01,Open,FEB,21.22
Open,iGTe,iGTe,February 2021,0.0,2021-02-01,Open,FEB,21.22
Total,Total,Total,February 2021,97.0,2021-02-01,Total,FEB,21.22
Total,Total,Total,February 2021,0.0,2021-02-01,Total,FEB,21.22
Accepted L,Total,Total,February 2021,0.0,2021-02-01,Accepted L,FEB,21.22
Total,Total,Total,February 2021,0.0,2021-02-01,Total,FEB,21.22
Total,Total,Total,February 2021,0.0,2021-02-01,Total,FEB,21.22
Realized,Total,Total,February 2021,0.0,2021-02-01,Realized,FEB,21.22
Total,Total,Total,February 2021,4.0,2021-02-01,Total,FEB,21.22
Total,Total,Total,February 2021,0.0,2021-02-01,Total,FEB,21.22
Realized,Old iGT,iGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,Old iGV,iGV,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,iGTa,iGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,iGV,iGV,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,iGTe,iGTe,March 2021,1.0,2021-03-01,Realized,MAR,21.22
Accepted,oGTe,oGTe,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Accepted,oGTa,oGTa,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Accepted,oGV,oGV,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Realized,iGE,iGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Accepted,iGV,iGV,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Accepted,iGE,iGTa,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Accepted,iGTa,iGTa,March 2021,1.0,2021-03-01,Accepted,MAR,21.22
Accepted,iGTe,iGTe,March 2021,3.0,2021-03-01,Accepted,MAR,21.22
Accepted,Old iGT,iGTa,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Approved,Old iGV,iGV,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Accepted,Old iGV,iGV,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Finished,iGTa,iGTa,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Finished,iGV,iGV,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Finished,iGTe,iGTe,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Realized,oGTe,oGTe,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,oGTa,oGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,oGV,oGV,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,oGE,oGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,Old oGT,oGTa,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Realized,Old oGV,oGV,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Accepted,oGE,oGTa,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Approved,Old oGT,oGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Approved,Old oGV,oGV,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Accepted,Old oGT,oGTa,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Approved,oGV,oGV,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Accepted,Old oGV,oGV,March 2021,0.0,2021-03-01,Accepted,MAR,21.22
Approved,oGE,oGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Completed,Old iGV,iGV,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Applied,Old oGV,oGV,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Completed,iGTa,iGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,iGTe,iGTe,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,oGE,oGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Approved,oGTe,oGTe,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Completed,iGV,iGV,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,oGV,oGV,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Approved,oGTa,oGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Completed,oGTa,oGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,oGTe,oGTe,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,iGE,iGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,Old iGT,iGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,Old oGV,oGV,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Completed,Old oGT,oGTa,March 2021,0.0,2021-03-01,Completed,MAR,21.22
Finished,iGE,iGTa,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Applied,iGTa,iGTa,March 2021,2.0,2021-03-01,Applied,MAR,21.22
