"Function: oGTa, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,7.0,2.0,3.0,4.0,1.0,6.0,2.0,8.0,16.0,10.0,6.0,4.0,69.0
Applied,ASL,90.0,141.0,94.0,63.0,59.0,68.0,82.0,130.0,162.0,122.0,132.0,150.0,1293.0
Accepted,ASL,0.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,18.0
Approved,ASL,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,13.0
Realized,ASL,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,14.0
Finished,ASL,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,15.0
Completed,ASL,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0

"Function: iGTa, Term: 23.24"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,2.0,5.0,3.0,8.0,2.0,2.0,1.0,6.0,4.0,4.0,1.0,2.0,40.0
Applied,ASL,87.0,60.0,105.0,105.0,70.0,91.0,99.0,150.0,86.0,116.0,58.0,89.0,1116.0
Accepted,ASL,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,13.0
Approved,ASL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,12.0
Realized,ASL,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,9.0
Finished,ASL,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0
Completed,ASL,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0

"Function: iGTa, Term: 24.25"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,8.0,25.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,49.0
Applied,ASL,123.0,288.0,162.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,633.0
Accepted,ASL,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,13.0
Approved,ASL,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,9.0
Realized,ASL,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,3.0
Finished,ASL,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,9.0
Completed,ASL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0

"Function: iGV, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Applied,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.0,88.0
Accepted,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,26.0
Approved,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,38.0
Realized,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192.0,192.0
